2 Chainz,17lzZA2AlOHwCwFALHttmp
50 Cent,3q7HBObVc0L8jNeTe5Gofh
Ab-Soul,0g9vAlRPK9Gt3FKCekk4TW
Ace Hood,31HjiqargV4NAw4GZqUale
Action Bronson,7BMccF0hQFBpP6417k1OtQ
Amir Obe (Phreshy Duzit),6AWdGez5g1jxpfl9XD4wI3
Andre 3000,74V3dE1a51skRkdII8y2C6
ASAP Rocky,13ubrt8QOOCPljQ2FL1Kca
Audio Push,3oHjuEyaFp7MddhOXddXbx
August Alsina,19Fi1Rj7kk8kyiwxpXy3yM
Azizi Gibson,2NjfafEappzvGGGDdMRJMP
Berner,2lrtGWxNXWjd0JzDLKXubI
Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP
Big Sean,0c173mlxpT3dSFRgMO8XPh
Bobby Shmurda,34Y0ldeyUv7jBvukWOGASO
Boosie Badazz,6z7xFFHxYkE9t8bwIF0Bvg
Chance The Rapper,1anyVhU62p31KFi8MEzkbf
Chaz French,3BYzEWh3pY0DZpMN0hFufv
Chief Keef,15iVAtD3s3FsQR4w1v6M0P
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Chris Brown,7bXgB6jMjp9ATFy66eO08Z
Curren$y,6X8WdFjrNhXATMDSs26aCc
Dave East,7e10JUMF7MJmmwYpnTSMI5
DeJ Loaf,7kFfY4UjNdNyaeUgLIEbIF
Denzel Curry,6fxyWrfmjcbj5d12gXeiNV
Diddy,59wfkuBoNyhDMQGCljbUbA
DJ Drama,5oNgAs7j5XcBMzWv3HAnHG
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
DJ Mustard,0YinUQ50QDB7ZxSCLyQ40k
Dom Kennedy,3s8alQfNnY0roAHaJh7Xxt
Drake,3TVXtAsR1Inumwj472S9r4
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
Eminem,7dGJo4pcD2V6oG8kP0tJRR
Euroz,23qSMYgeDsJv22G2rNLVgy
Fabolous,0YWxKQj2Go9CGHCp77UOyy
Fat Joe,3ScY9CQxNLQei8Umvpx5g6
Fat Trel,1SncSgYiDk2kCBBaXIYcwd
Father,10AY17ALos2o3akPqrPydw
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL
Flatbush Zombies,1dqGS5sT6PE2wEvP1gROZC
